year, jan_count, feb_count, mar_count, apr_count, may_count, jun_count, jul_count, aug_count, sep_count, oct_count, nov_count, dec_count, Total
2000,1239840,1102080,493640,1056160,769160,700280,849520,642880,1377600,2560040,436240,252560,11480000
2001,1080000,710000,470000,980000,670000,510000,730000,590000,1180000,2430000,380000,270000,10000000
2002,756000,812000,301000,637000,497000,406000,539000,371000,840000,1421000,266000,154000,7000000
2003,777600,691200,237600,900000,316800,597600,374400,388800,662400,1821600,194400,237600,7200000
2004,829242,694770,395944,612593,500534,455710,552828,268943,672359,1815368,283885,388474,7470650
2005,810000,720000,322500,690000,502500,457500,555000,420000,900000,1672500,285000,165000,7500000
2006,892171,793041,355216,759997,553476,503911,611302,462607,991301,1842167,313912,181738,8260840
2007,966638,859234,384865,823432,599673,545971,483319,501220,787631,2461346,340113,196908,8950350
2008,1024920,911040,408070,873080,635830,578890,702260,531440,1138800,2116270,360620,208780,9490000
2009,1276560,839220,555540,1158360,791940,602820,862860,697380,1394760,2872260,449160,319140,11820000
2010,1385640,1488280,551690,1167530,910930,744140,987910,679990,1539600,2604490,487540,282260,12830000
2011,1589760,1413120,485760,1840000,647680,1221760,765440,794880,1354240,3724160,397440,485760,14720000
2012,1681742,1409027,802994,1242368,1015106,924201,1121161,545430,1363575,3681652,575732,787843,15150830
2013,1663238,1478434,662215,1416832,1031823,939421,1139626,862420,1848042,3434278,585213,338808,15400350
2014,1706497,1516886,679439,1453683,1058660,963855,1169267,884850,1896108,3523601,600434,347620,15800900
2015,1717238,1526434,683715,1462832,1065323,969921,858619,890420,1399231,4372596,604213,349808,15900350
2016,1730002,1537780,688797,1473706,1073242,977131,1185372,897038,1922225,3572134,608705,352408,16018540
2017,1809000,1189250,787250,1641500,1122250,854250,1222750,988250,1976500,4070250,636500,452250,16750000
2018,1836000,1972000,731000,1547000,1207000,986000,1309000,901000,2040000,3451000,646000,374000,17000000
2019,2052000,1824000,627000,2375000,836000,1577000,988000,1026000,1748000,4807000,513000,627000,19000000
2020,326917,273904,156096,241506,197328,179657,217945,106027,265068,715684,111918,153150,2945200
2021,337500,300000,134375,287500,209375,190625,231250,175000,375000,696875,118750,68750,3125000
2022,706410,627920,281256,601756,438236,398991,484021,366286,784900,1458605,248552,143898,6540830
2023,893803,794491,355866,761387,554489,504833,446901,463453,728284,2275886,314486,182071,8275950
2024,1512000,1344000,602000,1288000,938000,854000,1036000,784000,1680000,3122000,532000,308000,14000000
2025, -, -, -, -, -, -, -, -, -, -, -, -, -
